surah,ayah,word_pos,arabic_form,verb_kind,speaker,verse_sahih
2,61,2,qulo,other,Moses,"And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So call upon your Lord to bring forth for us from the earth its green herbs and its cucumbers and its garlic and its lentils and its onions."" [Moses] said, ""Would you exchange what is better for what is less? Go into [any]"
2,61,23,qaAla,qala,Moses,"And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So call upon your Lord to bring forth for us from the earth its green herbs and its cucumbers and its garlic and its lentils and its onions."" [Moses] said, ""Would you exchange what is better for what is less? Go into [any]"
2,65,8,qulo,qulna,GOD (We said),"And you had already known about those who transgressed among you concerning the sabbath, and We said to them, ""Be apes, despised."""
2,67,2,qaAla,qala,Moses,"And [recall] when Moses said to his people, ""Indeed, Allah commands you to slaughter a cow."" They said, ""Do you take us in ridicule?"" He said, ""I seek refuge in Allah from being among the ignorant."""
2,67,11,qaAlu,qalu,Moses,"And [recall] when Moses said to his people, ""Indeed, Allah commands you to slaughter a cow."" They said, ""Do you take us in ridicule?"" He said, ""I seek refuge in Allah from being among the ignorant."""
2,67,14,qaAla,qala,Moses,"And [recall] when Moses said to his people, ""Indeed, Allah commands you to slaughter a cow."" They said, ""Do you take us in ridicule?"" He said, ""I seek refuge in Allah from being among the ignorant."""
2,68,1,qaAlu,qalu,Moses,"They said, ""Call upon your Lord to make clear to us what it is."" [Moses] said, ""[Allah] says, 'It is a cow which is neither old nor virgin, but median between that,' so do what you are commanded."""
2,68,9,qaAla,qala,Moses,"They said, ""Call upon your Lord to make clear to us what it is."" [Moses] said, ""[Allah] says, 'It is a cow which is neither old nor virgin, but median between that,' so do what you are commanded."""
2,68,11,yaquwlu,yaqulu,Moses,"They said, ""Call upon your Lord to make clear to us what it is."" [Moses] said, ""[Allah] says, 'It is a cow which is neither old nor virgin, but median between that,' so do what you are commanded."""
2,69,1,qaAlu,qalu,Moses,"They said, ""Call upon your Lord to show us what is her color."" He said, ""He says, 'It is a yellow cow, bright in color - pleasing to the observers.' """
2,69,9,qaAla,qala,Moses,"They said, ""Call upon your Lord to show us what is her color."" He said, ""He says, 'It is a yellow cow, bright in color - pleasing to the observers.' """
2,69,11,yaquwlu,yaqulu,Moses,"They said, ""Call upon your Lord to show us what is her color."" He said, ""He says, 'It is a yellow cow, bright in color - pleasing to the observers.' """
2,70,1,qaAlu,qalu,Moses,"They said, ""Call upon your Lord to make clear to us what it is. Indeed, [all] cows look alike to us. And indeed we, if Allah wills, will be guided."""
2,71,1,qaAla,qala,Moses,"He said, ""He says, 'It is a cow neither trained to plow the earth nor to irrigate the field, one free from fault with no spot upon her.' "" They said, ""Now you have come with the truth."" So they slaughtered her, but they could hardly do it."
2,71,3,yaquwlu,yaqulu,Moses,"He said, ""He says, 'It is a cow neither trained to plow the earth nor to irrigate the field, one free from fault with no spot upon her.' "" They said, ""Now you have come with the truth."" So they slaughtered her, but they could hardly do it."
2,71,17,qaAlu,qalu,Moses,"He said, ""He says, 'It is a cow neither trained to plow the earth nor to irrigate the field, one free from fault with no spot upon her.' "" They said, ""Now you have come with the truth."" So they slaughtered her, but they could hardly do it."
2,73,1,qulo,qulna,GOD (We said),"So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the dead to life, and He shows you His signs that you might reason."
2,76,5,qaAlu,qalu,UNCLASSIFIED,"And when they meet those who believe, they say, ""We have believed""; but when they are alone with one another, they say, ""Do you talk to them about what Allah has revealed to you so they can argue with you about it before your Lord?"" Then will you not reason?"
2,76,12,qaAlu,qalu,UNCLASSIFIED,"And when they meet those who believe, they say, ""We have believed""; but when they are alone with one another, they say, ""Do you talk to them about what Allah has revealed to you so they can argue with you about it before your Lord?"" Then will you not reason?"
2,79,7,yaquwlu,yaquluna,UNCLASSIFIED,"So woe to those who write the ""scripture"" with their own hands, then say, ""This is from Allah,"" in order to exchange it for a small price. Woe to them for what their hands have written and woe to them for what they earn."
2,80,1,qaAlu,qalu,UNCLASSIFIED,"And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have you taken a covenant with Allah? For Allah will never break His covenant. Or do you say about Allah that which you do not know?"""
2,80,8,qulo,qul,GOD->Muhammad (Qul),"And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have you taken a covenant with Allah? For Allah will never break His covenant. Or do you say about Allah that which you do not know?"""
2,80,18,taquwlu,other,UNCLASSIFIED,"And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have you taken a covenant with Allah? For Allah will never break His covenant. Or do you say about Allah that which you do not know?"""
2,83,16,quwlu,other,People of Paradise,"And [recall] when We took the covenant from the Children of Israel, [enjoining upon them], ""Do not worship except Allah; and to parents do good and to relatives, orphans, and the needy. And speak to people good [words] and establish prayer and give zakah."" Then you turned away, except a few of you, "
2,88,1,qaAlu,qalu,Moses,"And they said, ""Our hearts are wrapped."" But, [in fact], Allah has cursed them for their disbelief, so little is it that they believe."
2,91,2,qiyla,qila,Disbelievers,"And when it is said to them, ""Believe in what Allah has revealed,"" they say, ""We believe [only] in what was revealed to us."" And they disbelieve in what came after it, while it is the truth confirming that which is with them. Say, ""Then why did you kill the prophets of Allah before, if you are [inde"
2,91,8,qaAlu,qalu,Disbelievers,"And when it is said to them, ""Believe in what Allah has revealed,"" they say, ""We believe [only] in what was revealed to us."" And they disbelieve in what came after it, while it is the truth confirming that which is with them. Say, ""Then why did you kill the prophets of Allah before, if you are [inde"
2,91,21,qulo,qul,GOD->Muhammad (Qul),"And when it is said to them, ""Believe in what Allah has revealed,"" they say, ""We believe [only] in what was revealed to us."" And they disbelieve in what came after it, while it is the truth confirming that which is with them. Say, ""Then why did you kill the prophets of Allah before, if you are [inde"
2,93,12,qaAlu,qalu,Moses,"And [recall] when We took your covenant and raised over you the mount, [saying], ""Take what We have given you with determination and listen."" They said [instead], ""We hear and disobey."" And their hearts absorbed [the worship of] the calf because of their disbelief. Say, ""How wretched is that which y"
2,93,20,qulo,qul,GOD->Muhammad (Qul),"And [recall] when We took your covenant and raised over you the mount, [saying], ""Take what We have given you with determination and listen."" They said [instead], ""We hear and disobey."" And their hearts absorbed [the worship of] the calf because of their disbelief. Say, ""How wretched is that which y"
2,94,1,qulo,qul,GOD->Muhammad (Qul),"Say, [O Muhammad], ""If the home of the Hereafter with Allah is for you alone and not the [other] people, then wish for death, if you should be truthful."
2,97,1,qulo,qul,GOD->Muhammad (Qul),"Say, ""Whoever is an enemy to Gabriel - it is [none but] he who has brought the Qur'an down upon your heart, [O Muhammad], by permission of Allah, confirming that which was before it and as guidance and good tidings for the believers."""
2,102,29,yaquwla,other,Solomon,"And they followed [instead] what the devils had recited during the reign of Solomon. It was not Solomon who disbelieved, but the devils disbelieved, teaching people magic and that which was revealed to the two angels at Babylon, Harut and Marut. But the two angels do not teach anyone unless they say"
2,104,5,taquwlu,other,Disbelievers,"O you who have believed, say not [to Allah 's Messenger], ""Ra'ina"" but say, ""Unthurna"" and listen. And for the disbelievers is a painful punishment."
2,104,7,quwlu,other,Disbelievers,"O you who have believed, say not [to Allah 's Messenger], ""Ra'ina"" but say, ""Unthurna"" and listen. And for the disbelievers is a painful punishment."
2,111,1,qaAlu,qalu,UNCLASSIFIED,"And they say, ""None will enter Paradise except one who is a Jew or a Christian."" That is [merely] their wishful thinking, Say, ""Produce your proof, if you should be truthful."""
2,111,13,qulo,qul,GOD->Muhammad (Qul),"And they say, ""None will enter Paradise except one who is a Jew or a Christian."" That is [merely] their wishful thinking, Say, ""Produce your proof, if you should be truthful."""
2,113,1,qaAlati,qalat,Disbelievers,"The Jews say ""The Christians have nothing [true] to stand on,"" and the Christians say, ""The Jews have nothing to stand on,"" although they [both] recite the Scripture. Thus the polytheists speak the same as their words. But Allah will judge between them on the Day of Resurrection concerning that over"
2,113,7,qaAlati,qalat,Disbelievers,"The Jews say ""The Christians have nothing [true] to stand on,"" and the Christians say, ""The Jews have nothing to stand on,"" although they [both] recite the Scripture. Thus the polytheists speak the same as their words. But Allah will judge between them on the Day of Resurrection concerning that over"
2,113,17,qaAla,qala,Disbelievers,"The Jews say ""The Christians have nothing [true] to stand on,"" and the Christians say, ""The Jews have nothing to stand on,"" although they [both] recite the Scripture. Thus the polytheists speak the same as their words. But Allah will judge between them on the Day of Resurrection concerning that over"
2,116,1,qaAlu,qalu,Disbelievers,"They say, ""Allah has taken a son."" Exalted is He! Rather, to Him belongs whatever is in the heavens and the earth. All are devoutly obedient to Him,"
2,117,8,yaquwlu,yaqulu,Disbelievers,"Originator of the heavens and the earth. When He decrees a matter, He only says to it, ""Be,"" and it is."
2,118,1,qaAla,qala,Disbelievers,"Those who do not know say, ""Why does Allah not speak to us or there come to us a sign?"" Thus spoke those before them like their words. Their hearts resemble each other. We have shown clearly the signs to a people who are certain [in faith]."
2,118,12,qaAla,qala,Disbelievers,"Those who do not know say, ""Why does Allah not speak to us or there come to us a sign?"" Thus spoke those before them like their words. Their hearts resemble each other. We have shown clearly the signs to a people who are certain [in faith]."
2,120,10,qulo,qul,GOD->Muhammad (Qul),"And never will the Jews or the Christians approve of you until you follow their religion. Say, ""Indeed, the guidance of Allah is the [only] guidance."" If you were to follow their desires after what has come to you of knowledge, you would have against Allah no protector or helper."
2,124,7,qaAla,qala,Abraham,"And [mention, O Muhammad], when Abraham was tried by his Lord with commands and he fulfilled them. [Allah] said, ""Indeed, I will make you a leader for the people."" [Abraham] said, ""And of my descendants?"" [Allah] said, ""My covenant does not include the wrongdoers."""
2,124,12,qaAla,qala,Abraham,"And [mention, O Muhammad], when Abraham was tried by his Lord with commands and he fulfilled them. [Allah] said, ""Indeed, I will make you a leader for the people."" [Abraham] said, ""And of my descendants?"" [Allah] said, ""My covenant does not include the wrongdoers."""
2,124,15,qaAla,qala,Abraham,"And [mention, O Muhammad], when Abraham was tried by his Lord with commands and he fulfilled them. [Allah] said, ""Indeed, I will make you a leader for the people."" [Abraham] said, ""And of my descendants?"" [Allah] said, ""My covenant does not include the wrongdoers."""
2,126,2,qaAla,qala,Abraham,"And [mention] when Abraham said, ""My Lord, make this a secure city and provide its people with fruits - whoever of them believes in Allah and the Last Day."" [Allah] said. ""And whoever disbelieves - I will grant him enjoyment for a little; then I will force him to the punishment of the Fire, and wret"
2,126,19,qaAla,qala,Abraham,"And [mention] when Abraham said, ""My Lord, make this a secure city and provide its people with fruits - whoever of them believes in Allah and the Last Day."" [Allah] said. ""And whoever disbelieves - I will grant him enjoyment for a little; then I will force him to the punishment of the Fire, and wret"
2,131,2,qaAla,qala,Abraham,"When his Lord said to him, ""Submit"", he said ""I have submitted [in Islam] to the Lord of the worlds."""
2,131,6,qaAla,qala,Abraham,"When his Lord said to him, ""Submit"", he said ""I have submitted [in Islam] to the Lord of the worlds."""
2,133,9,qaAla,qala,Abraham,"Or were you witnesses when death approached Jacob, when he said to his sons, ""What will you worship after me?"" They said, ""We will worship your God and the God of your fathers, Abraham and Ishmael and Isaac - one God. And we are Muslims [in submission] to Him."""
2,133,15,qaAlu,qalu,Abraham,"Or were you witnesses when death approached Jacob, when he said to his sons, ""What will you worship after me?"" They said, ""We will worship your God and the God of your fathers, Abraham and Ishmael and Isaac - one God. And we are Muslims [in submission] to Him."""
2,135,1,qaAlu,qalu,Abraham,"They say, ""Be Jews or Christians [so] you will be guided."" Say, ""Rather, [we follow] the religion of Abraham, inclining toward truth, and he was not of the polytheists."""
2,135,7,qulo,qul,GOD->Muhammad (Qul),"They say, ""Be Jews or Christians [so] you will be guided."" Say, ""Rather, [we follow] the religion of Abraham, inclining toward truth, and he was not of the polytheists."""
2,136,1,quwlu,other,Moses,"Say, [O believers], ""We have believed in Allah and what has been revealed to us and what has been revealed to Abraham and Ishmael and Isaac and Jacob and the Descendants and what was given to Moses and Jesus and what was given to the prophets from their Lord. We make no distinction between any of th"
2,139,1,qulo,qul,GOD->Muhammad (Qul),"Say, [O Muhammad], ""Do you argue with us about Allah while He is our Lord and your Lord? For us are our deeds, and for you are your deeds. And we are sincere [in deed and intention] to Him."""
2,140,2,taquwlu,other,Abraham,"Or do you say that Abraham and Ishmael and Isaac and Jacob and the Descendants were Jews or Christians? Say, ""Are you more knowing or is Allah?"" And who is more unjust than one who conceals a testimony he has from Allah? And Allah is not unaware of what you do."
2,140,13,qulo,qul,GOD->Muhammad (Qul),"Or do you say that Abraham and Ishmael and Isaac and Jacob and the Descendants were Jews or Christians? Say, ""Are you more knowing or is Allah?"" And who is more unjust than one who conceals a testimony he has from Allah? And Allah is not unaware of what you do."
2,142,1,yaquwlu,yaqulu,Abraham,"The foolish among the people will say, ""What has turned them away from their qiblah, which they used to face?"" Say, ""To Allah belongs the east and the west. He guides whom He wills to a straight path."""
2,142,12,qul,qul,GOD->Muhammad (Qul),"The foolish among the people will say, ""What has turned them away from their qiblah, which they used to face?"" Say, ""To Allah belongs the east and the west. He guides whom He wills to a straight path."""
2,154,2,taquwlu,other,UNCLASSIFIED,"And do not say about those who are killed in the way of Allah, ""They are dead."" Rather, they are alive, but you perceive [it] not."
2,156,5,qaAlu,qalu,UNCLASSIFIED,"Who, when disaster strikes them, say, ""Indeed we belong to Allah, and indeed to Him we will return."""
2,167,1,qaAla,qala,UNCLASSIFIED,"Those who followed will say, ""If only we had another turn [at worldly life] so we could disassociate ourselves from them as they have disassociated themselves from us."" Thus will Allah show them their deeds as regrets upon them. And they are never to emerge from the Fire."
2,169,6,taquwlu,other,Iblis/Satan,He only orders you to evil and immorality and to say about Allah what you do not know.
2,170,2,qiyla,qila,Iblis/Satan,"And when it is said to them, ""Follow what Allah has revealed,"" they say, ""Rather, we will follow that which we found our fathers doing."" Even though their fathers understood nothing, nor were they guided?"
2,170,8,qaAlu,qalu,Iblis/Satan,"And when it is said to them, ""Follow what Allah has revealed,"" they say, ""Rather, we will follow that which we found our fathers doing."" Even though their fathers understood nothing, nor were they guided?"
2,189,4,qulo,qul,GOD->Muhammad (Qul),"They ask you, [O Muhammad], about the new moons. Say, ""They are measurements of time for the people and for Hajj."" And it is not righteousness to enter houses from the back, but righteousness is [in] one who fears Allah. And enter houses from their doors. And fear Allah that you may succeed."
2,200,14,yaquwlu,yaqulu,UNCLASSIFIED,"And when you have completed your rites, remember Allah like your [previous] remembrance of your fathers or with [much] greater remembrance. And among the people is he who says, ""Our Lord, give us in this world,"" and he will have in the Hereafter no share."
2,201,3,yaquwlu,yaqulu,UNCLASSIFIED,"But among them is he who says, ""Our Lord, give us in this world [that which is] good and in the Hereafter [that which is] good and protect us from the punishment of the Fire."""
2,206,2,qiyla,qila,UNCLASSIFIED,"And when it is said to him, ""Fear Allah,"" pride in the sin takes hold of him. Sufficient for him is Hellfire, and how wretched is the resting place."
2,214,18,yaquwla,yaqulu,UNCLASSIFIED,"Or do you think that you will enter Paradise while such [trial] has not yet come to you as came to those who passed on before you? They were touched by poverty and hardship and were shaken until [even their] messenger and those who believed with him said, ""When is the help of Allah?"" Unquestionably,"
2,215,4,qulo,qul,GOD->Muhammad (Qul),"They ask you, [O Muhammad], what they should spend. Say, ""Whatever you spend of good is [to be] for parents and relatives and orphans and the needy and the traveler. And whatever you do of good - indeed, Allah is Knowing of it."""
2,217,7,qulo,qul,GOD->Muhammad (Qul),"They ask you about the sacred month - about fighting therein. Say, ""Fighting therein is great [sin], but averting [people] from the way of Allah and disbelief in Him and [preventing access to] al-Masjid al-Haram and the expulsion of its people therefrom are greater [evil] in the sight of Allah. And "
2,219,5,qulo,qul,GOD->Muhammad (Qul),"They ask you about wine and gambling. Say, ""In them is great sin and [yet, some] benefit for people. But their sin is greater than their benefit."" And they ask you what they should spend. Say, ""The excess [beyond needs]."" Thus Allah makes clear to you the verses [of revelation] that you might give t"
2,219,18,quli,qul,GOD->Muhammad (Qul),"They ask you about wine and gambling. Say, ""In them is great sin and [yet, some] benefit for people. But their sin is greater than their benefit."" And they ask you what they should spend. Say, ""The excess [beyond needs]."" Thus Allah makes clear to you the verses [of revelation] that you might give t"
2,220,7,qulo,qul,GOD->Muhammad (Qul),"To this world and the Hereafter. And they ask you about orphans. Say, ""Improvement for them is best. And if you mix your affairs with theirs - they are your brothers. And Allah knows the corrupter from the amender. And if Allah had willed, He could have put you in difficulty. Indeed, Allah is Exalte"
2,222,4,qulo,qul,GOD->Muhammad (Qul),"And they ask you about menstruation. Say, ""It is harm, so keep away from wives during menstruation. And do not approach them until they are pure. And when they have purified themselves, then come to them from where Allah has ordained for you. Indeed, Allah loves those who are constantly repentant an"
2,235,24,taquwlu,other,UNCLASSIFIED,There is no blame upon you for that to which you [indirectly] allude concerning a proposal to women or for what you conceal within yourselves. Allah knows that you will have them in mind. But do not promise them secretly except for saying a proper saying. And do not determine to undertake a marriage
2,243,12,qaAla,qala,UNCLASSIFIED,"Have you not considered those who left their homes in many thousands, fearing death? Allah said to them, ""Die""; then He restored them to life. And Allah is full of bounty to the people, but most of the people do not show gratitude."
2,246,12,qaAlu,qalu,Moses,"Have you not considered the assembly of the Children of Israel after [the time of] Moses when they said to a prophet of theirs, ""Send to us a king, and we will fight in the way of Allah ""? He said, ""Would you perhaps refrain from fighting if fighting was prescribed for you?"" They said, ""And why shou"
2,246,22,qaAla,qala,Moses,"Have you not considered the assembly of the Children of Israel after [the time of] Moses when they said to a prophet of theirs, ""Send to us a king, and we will fight in the way of Allah ""? He said, ""Would you perhaps refrain from fighting if fighting was prescribed for you?"" They said, ""And why shou"
2,246,31,qaAlu,qalu,Moses,"Have you not considered the assembly of the Children of Israel after [the time of] Moses when they said to a prophet of theirs, ""Send to us a king, and we will fight in the way of Allah ""? He said, ""Would you perhaps refrain from fighting if fighting was prescribed for you?"" They said, ""And why shou"
2,247,1,qaAla,qala,Moses,"And their prophet said to them, ""Indeed, Allah has sent to you Saul as a king."" They said, ""How can he have kingship over us while we are more worthy of kingship than him and he has not been given any measure of wealth?"" He said, ""Indeed, Allah has chosen him over you and has increased him abundantl"
2,247,11,qaAlu,qalu,Moses,"And their prophet said to them, ""Indeed, Allah has sent to you Saul as a king."" They said, ""How can he have kingship over us while we are more worthy of kingship than him and he has not been given any measure of wealth?"" He said, ""Indeed, Allah has chosen him over you and has increased him abundantl"
2,247,26,qaAla,qala,Moses,"And their prophet said to them, ""Indeed, Allah has sent to you Saul as a king."" They said, ""How can he have kingship over us while we are more worthy of kingship than him and he has not been given any measure of wealth?"" He said, ""Indeed, Allah has chosen him over you and has increased him abundantl"
2,248,1,qaAla,qala,Moses,"And their prophet said to them, ""Indeed, a sign of his kingship is that the chest will come to you in which is assurance from your Lord and a remnant of what the family of Moses and the family of Aaron had left, carried by the angels. Indeed in that is a sign for you, if you are believers."""
2,249,5,qaAla,qala,Moses,"And when Saul went forth with the soldiers, he said, ""Indeed, Allah will be testing you with a river. So whoever drinks from it is not of me, and whoever does not taste it is indeed of me, excepting one who takes [from it] in the hollow of his hand."" But they drank from it, except a [very] few of th"
2,249,36,qaAlu,qalu,Moses,"And when Saul went forth with the soldiers, he said, ""Indeed, Allah will be testing you with a river. So whoever drinks from it is not of me, and whoever does not taste it is indeed of me, excepting one who takes [from it] in the hollow of his hand."" But they drank from it, except a [very] few of th"
2,249,43,qaAla,qala,Moses,"And when Saul went forth with the soldiers, he said, ""Indeed, Allah will be testing you with a river. So whoever drinks from it is not of me, and whoever does not taste it is indeed of me, excepting one who takes [from it] in the hollow of his hand."" But they drank from it, except a [very] few of th"
2,250,5,qaAlu,qalu,Moses,"And when they went forth to [face] Goliath and his soldiers, they said, ""Our Lord, pour upon us patience and plant firmly our feet and give us victory over the disbelieving people."""
2,258,14,qaAla,qala,Abraham,"Have you not considered the one who argued with Abraham about his Lord [merely] because Allah had given him kingship? When Abraham said, ""My Lord is the one who gives life and causes death,"" he said, ""I give life and cause death."" Abraham said, ""Indeed, Allah brings up the sun from the east, so brin"
2,258,20,qaAla,qala,Abraham,"Have you not considered the one who argued with Abraham about his Lord [merely] because Allah had given him kingship? When Abraham said, ""My Lord is the one who gives life and causes death,"" he said, ""I give life and cause death."" Abraham said, ""Indeed, Allah brings up the sun from the east, so brin"
2,258,24,qaAla,qala,Abraham,"Have you not considered the one who argued with Abraham about his Lord [merely] because Allah had given him kingship? When Abraham said, ""My Lord is the one who gives life and causes death,"" he said, ""I give life and cause death."" Abraham said, ""Indeed, Allah brings up the sun from the east, so brin"
2,259,10,qaAla,qala,Abraham,"Or [consider such an example] as the one who passed by a township which had fallen into ruin. He said, ""How will Allah bring this to life after its death?"" So Allah caused him to die for a hundred years; then He revived him. He said, ""How long have you remained?"" The man said, ""I have remained a day"
2,259,23,qaAla,qala,Abraham,"Or [consider such an example] as the one who passed by a township which had fallen into ruin. He said, ""How will Allah bring this to life after its death?"" So Allah caused him to die for a hundred years; then He revived him. He said, ""How long have you remained?"" The man said, ""I have remained a day"
2,259,26,qaAla,qala,Abraham,"Or [consider such an example] as the one who passed by a township which had fallen into ruin. He said, ""How will Allah bring this to life after its death?"" So Allah caused him to die for a hundred years; then He revived him. He said, ""How long have you remained?"" The man said, ""I have remained a day"
2,259,32,qaAla,qala,Abraham,"Or [consider such an example] as the one who passed by a township which had fallen into ruin. He said, ""How will Allah bring this to life after its death?"" So Allah caused him to die for a hundred years; then He revived him. He said, ""How long have you remained?"" The man said, ""I have remained a day"
2,259,60,qaAla,qala,Abraham,"Or [consider such an example] as the one who passed by a township which had fallen into ruin. He said, ""How will Allah bring this to life after its death?"" So Allah caused him to die for a hundred years; then He revived him. He said, ""How long have you remained?"" The man said, ""I have remained a day"
2,260,2,qaAla,qala,Abraham,"And [mention] when Abraham said, ""My Lord, show me how You give life to the dead."" [Allah] said, ""Have you not believed?"" He said, ""Yes, but [I ask] only that my heart may be satisfied."" [Allah] said, ""Take four birds and commit them to yourself. Then [after slaughtering them] put on each hill a por"
2,260,9,qaAla,qala,Abraham,"And [mention] when Abraham said, ""My Lord, show me how You give life to the dead."" [Allah] said, ""Have you not believed?"" He said, ""Yes, but [I ask] only that my heart may be satisfied."" [Allah] said, ""Take four birds and commit them to yourself. Then [after slaughtering them] put on each hill a por"
2,260,12,qaAla,qala,Abraham,"And [mention] when Abraham said, ""My Lord, show me how You give life to the dead."" [Allah] said, ""Have you not believed?"" He said, ""Yes, but [I ask] only that my heart may be satisfied."" [Allah] said, ""Take four birds and commit them to yourself. Then [after slaughtering them] put on each hill a por"
